timestamp,symbol,side,quantity,price,market_price,slippage_bps,fee_commission,fee_regulatory,fee_crypto,fee_total,trade_value,net_amount,position_before,position_after,cash_before,cash_after,realized_pnl,notes
2025-07-14 15:08:05.731221,BTC/USD,buy,0.0419,120161.5415,120041.5,10.0,0.0,0.0,12.586921472125,12.586921472125,5034.76858885,-5047.355510322125,0.0,0.0419,100000.0,94952.64448967788,0.0,Strong Bull: Target 5.0% vs Current 0.0%
2025-07-14 15:13:17.864305,BTC/USD,buy,0.0703,120269.627478,120149.478,10.0,0.0,0.0,21.137387029258495,21.137387029258495,8454.9548117034,-8476.092198732658,0.0419,0.1122,94952.64448967788,86476.55229094523,0.0,Strong Bull: Target 13.5% vs Current 5.0%
2025-07-14 15:19:29.818719,BTC/USD,buy,0.1951,120325.12692199998,120204.922,10.0,0.0,0.0,58.68858065620549,58.68858065620549,23475.43226248219,-23534.1208431384,0.1122,0.3073,86476.55229094523,62942.431447806826,0.0,Weak Bull: Target 36.9% vs Current 13.5%
2025-07-14 16:41:58.845560,BTC/USD,sell,0.0458,119834.100945,119954.055,10.0,0.0,0.0,13.721004558202502,13.721004558202502,5488.401823281,5474.680818722798,0.3073,0.2615,62942.431447806826,68417.11226652963,-48.38016302288273,Strong Bull: Target 31.4% vs Current 36.9%
2025-07-14 16:43:50.863830,BTC/USD,sell,0.2615,119773.488618,119893.382,10.0,0.0,0.0,78.30191818401751,78.30191818401751,31320.767273607,31242.465355422984,0.2615,0.0,68417.11226652963,99659.57762195262,-292.04221502451367,Manual close
2025-07-14 16:53:09.970629,BTC/USD,buy,0.2084,119972.06371149998,119852.2115,10.0,0.0,0.0,62.50544519369149,62.50544519369149,25002.1780774766,-25064.68352267029,0.0,0.2084,99659.57762195262,74594.89409928233,0.0,Weak Bull: Target 25.0% vs Current 0.0%
2025-07-14 16:57:39.601602,BTC/USD,sell,0.2084,119732.3592885,119852.2115,10.0,0.0,0.0,62.38055918930851,62.38055918930851,24952.2236757234,24889.843116534095,0.2084,0.0,74594.89409928233,99484.73721581642,-214.4371479637664,Manual close
2025-07-14 16:59:04.853542,BTC/USD,buy,0.2143,120000.678798,119880.798,10.0,0.0,0.0,64.2903636660285,64.2903636660285,25716.1454664114,-25780.435830077426,0.0,0.2143,99484.73721581642,73704.301385739,0.0,Weak Bull: Target 25.7% vs Current 0.0%
2025-07-14 16:59:09.935298,BTC/USD,sell,0.2143,119760.917202,119880.798,10.0,0.0,0.0,64.1619113909715,64.1619113909715,25664.7645563886,25600.602644997627,0.2143,0.0,73704.301385739,99304.90403073662,-204.25491394597665,Manual close
2025-07-14 17:08:20.539488,BTC/USD,buy,0.0982,119962.01217,119842.17,10.0,0.0,0.0,29.45067398773499,29.45067398773499,11780.269595093998,-11809.720269081732,0.0,0.0982,99304.90403073662,87495.18376165489,0.0,Weak Bull: Target 11.8% vs Current 0.0%
2025-07-14 17:09:13.542184,BTC/USD,sell,0.0982,119694.8853,119814.7,10.0,0.0,0.0,29.38509434115,29.38509434115,11754.03773646,11724.652642118848,0.0982,0.0,87495.18376165489,99219.83640377372,-98.28684434459264,Manual close
2025-07-14 17:26:12.923316,BTC/USD,buy,0.5128,120050.556125,119870.75,15.0,0.0,0.0,153.90481295225,153.90481295225,61561.925180900005,-61715.829993852254,0.0,0.5128,99219.83640377372,37504.006409921465,0.0,Weak Bull: Target 61.5% vs Current 0.0%
2025-07-14 17:27:40.574417,BTC/USD,sell,0.2943,119828.70134999999,119948.65,10.0,0.0,0.0,88.1639670182625,88.1639670182625,35265.586807305,35177.42284028674,0.5128,0.21850000000000003,37504.006409921465,72681.4292502082,-250.11667709251557,Strong Bull: Target 26.2% vs Current 61.5%
