Date,Open,High,Low,Close,Volume,Adj Close,
2025-01-12T20:00:00,-0.753927924,-0.778800253,-0.787801585,-0.766501546,-0.082393124,-0.766501546,
2025-01-13T00:00:00,-0.938652532,-0.843171711,-0.953106024,-0.969015968,0.076520817,-0.969015968,
2025-01-13T04:00:00,-1.072834047,-1.06220163,-1.130725881,-1.140575214,4.500637206026703,-1.140575214,
2025-01-13T08:00:00,-1.215119839,-1.305214632,-1.557733119,-1.569795549,-0.597560669,-1.569795549,
2025-01-13T12:00:00,-1.690481846,-1.375994719,-1.67872734,-1.2629341,-0.032448311,-1.2629341,
2025-01-13T16:00:00,-1.302841063,-1.459254328,-1.262508089,-1.301201555,-0.667732913,-1.301201555,
2025-01-13T20:00:00,-1.354059402,-1.001864414,-1.216771287,-0.877399943,-0.524938656,-0.877399943,
2025-01-14T00:00:00,-0.880874707,-1.007083215,-0.722165194,-0.951652999,-0.579541327,-0.951652999,
2025-01-14T04:00:00,-0.936895036,-1.038631838,-0.830449217,-1.033338277,0.18961684752738203,-1.033338277,
2025-01-14T08:00:00,-1.022195216,-0.60575149,-0.902227692,-0.64602506,0.49254405715065436,-0.64602506,
2025-01-14T12:00:00,-0.614601684,-0.833906762,-0.711187683,-0.825188139,-0.216266253,-0.825188139,
2025-01-14T16:00:00,-0.830059322,-0.963181271,-0.933701475,-0.8752255,-0.039365968,-0.8752255,
2025-01-14T20:00:00,-0.842866555,-1.053536142,-0.730337926,-0.928685051,-0.472200305,-0.928685051,
2025-01-15T00:00:00,-0.902681297,-0.873720785,-0.703224841,-0.722278066,-0.448907169,-0.722278066,
2025-01-15T04:00:00,-0.688196618,-0.934674115,-0.728600436,-0.885385284,-0.145027726,-0.885385284,
2025-01-15T08:00:00,-0.857896252,-1.068685644,-0.894665496,-1.148009877,-0.371492117,-1.148009877,
2025-01-15T12:00:00,-1.173168592,-0.122878715,-0.936826627,-0.167616183,1.8621981342962441,-0.167616183,
2025-01-15T16:00:00,-0.095166797,-0.391763512,-0.077690689,-0.082113715,2.5370646072709118,-0.082113715,
2025-01-15T20:00:00,0.006996099,-0.174771352,0.020412357,-0.029590156,-1.08963661,-0.029590156,
2025-01-16T00:00:00,0.023353368,-0.386628973,-0.412687268,-0.875709386,-0.533871613,-0.875709386,
2025-01-16T04:00:00,-0.824455115,-1.204932825,-0.443322485,-0.711909818,-0.363104354,-0.711909818,
2025-01-16T08:00:00,-0.696001383,-1.22307474,-1.008029126,-1.242549413,-0.508772847,-1.242549413,
2025-01-16T12:00:00,-1.243260698,-1.494877682,-1.740943749,-1.190170221,-0.248817023,-1.190170221,
2025-01-16T16:00:00,-1.149776257,-0.839364173,-0.432661128,-0.435689818,-0.112652109,-0.435689818,
2025-01-16T20:00:00,-0.405557021,-0.85917514,-0.551818884,-1.07630772,-0.142649688,-1.07630772,
